,x,y,z,x_dot,y_dot,z_dot,x_ddot,y_ddot,z_ddot
641,0.6052964565557094,0.0930253571373094,0.898642706996841,-0.009176324257657147,0.013735383215348668,0.009087751502117615,-0.012421417771804045,-0.006813248857983139,0.013465171192242945
642,0.6052861013915245,0.0930408564820449,0.8986529618502607,-0.00919034089780526,0.01372769483125813,0.009102924892827883,-0.03204301458073269,0.021162541072499166,0.030518098556787762
643,0.6052720556236988,0.09306183574678026,0.8986668733584844,-0.009239311953611426,0.013760035303847147,0.009149533940007825,-0.02811247434076329,0.01538740167754922,0.027110170398819546
644,0.6052582191966923,0.09308244124170138,0.898680574698971,-0.009281411277507397,0.013783076981909956,0.009190101667038039,-0.012871849618221482,-0.006407401862574841,0.01388641441260168
645,0.6052470129479037,0.09309908209602122,0.8986916702841912,-0.009296951997378263,0.013775340899795032,0.009206844161323677,-0.010073102809986573,-0.010421334113182293,0.011469668578527579
646,0.6052365593435656,0.09311457069689252,0.8987020222075455,-0.009308277781504837,0.013763623317042199,0.009219718809617621,-0.010031015605063951,-0.010508599293875497,0.011440806071756585
647,0.6052263948408918,0.09312959984656133,0.8987120896628729,-0.009319230999632002,0.013752148358014117,0.009232190613212121,-0.020704612819230504,0.004528485338483724,0.020718357805472643
648,0.6052143896695725,0.09314731483854437,0.8987239822308937,-0.009345902397200767,0.013757981444114884,0.009258853948076224,-0.012647139251072706,-0.0068880517294736,0.01370522520953254
649,0.6052039411914576,0.09316269535803265,0.8987343330309305,-0.00936004107500432,0.0137502809097412,0.009274153766463431,-0.010869426705298548,-0.009412679765008793,0.012151402371827437
650,0.6051940660816649,0.09317720180730701,0.8987441172060506,-0.00937150816756324,0.013740350480724504,0.009286952897748741,-0.01684507953774607,-0.001051031717167911,0.017335827550417637
651,0.6051832716842481,0.09319302779321934,0.8987548138270229,-0.009390910365531299,0.013739139713124352,0.009306897448048747,-0.01483446582674035,-0.003904659765468106,0.015570542386067662
652,0.6051729833633228,0.09320807934171693,0.8987650097593605,-0.009407161975734138,0.013734861909334165,0.00932393376267233,-0.020483551747349667,0.003954198475650524,0.020463283237368714
653,0.6051617419224976,0.09322449170507144,0.8987761513297037,-0.00943163904412361,0.013739586665923346,0.009348362320645709,-0.014591507629527233,-0.004312584876073514,0.015322685670390091
654,0.6051516675923552,0.09323916703588483,0.898786136376849,-0.009447224404243374,0.013734980222376745,0.009364707341335755,-0.016562674737836007,-0.0015985607246650877,0.017021321137880702
655,0.6051413806469293,0.09325412233798802,0.8987963331254929,-0.00946525881196196,0.01373323945870214,0.009383219182441244,-0.0171421991994702,-0.0008287914784210519,0.017508550585523024
656,0.6051311056596614,0.09326902990575449,0.8988065187111507,-0.009483867038178958,0.01373233961694258,0.009402203059258216,-0.020457058305194557,0.0037262190015161,0.020372738989225238
657,0.6051202858629635,0.09328469606086422,0.8988172449600064,-0.009507205265459794,0.013736590315554964,0.009425421542809722,-0.03913311548157857,0.029487860890065325,0.03656406175706488
658,0.6051057762338793,0.09330565944095712,0.8988316290904009,-0.009566927933486145,0.013781590163524192,0.009481188817379319,-0.014588959386604539,-0.004540657950695987,0.01524365111213203
659,0.6050953315725653,0.09332070492190893,0.8988419797937455,-0.00958285490911234,0.013776632935251495,0.009497808050403959,-0.016422176850015065,-0.0020599336199983815,0.0168442461526319
660,0.6050846935899928,0.09333599790083975,0.898852523000224,-0.00960108478533308,0.013774346093208779,0.009516483365720588,-0.01735792949195736,-0.000822134971535686,0.01766105208273407
661,0.6050739918758659,0.09335135073708072,0.8988631300457939,-0.009620432079355947,0.013773429552173564,0.00953614516823351,-0.029268983428571548,0.015446882682216261,0.02800553744291706
662,0.605061020651373,0.09336992064936812,0.8988759870855507,-0.009659894687336704,0.013794255027480778,0.009573874461931727,-0.020719528524670076,0.0036371574288737297,0.020582554662757057
663,0.6050494057996136,0.09338650593266128,0.8988874980760022,-0.009684806852862222,0.013798627814432089,0.009598596060576673,-0.0221178815867438,0.005469290868426187,0.021804527989469222
664,0.6050374931305575,0.09340347808792207,0.8988993042486992,-0.009712012076788325,0.013805354648423132,0.009625389087856142,-0.022866412926911016,0.006404196111008352,0.022462211122180088
665,0.6050253617455628,0.09342072182755153,0.8989113269622396,-0.00974057416497308,0.013813353523772075,0.009653418860305095,-0.022381820724104728,0.0056570471960048245,0.0220499299751575
666,0.6050132271980372,0.09343792945191677,0.8989233524651327,-0.009768456232524085,0.01382040029654468,0.009680859997753928,-0.03545409384455866,0.023272425720851937,0.033402427622211656
667,0.6049984050348837,0.09345889881682647,0.898938041016163,-0.009822251338162674,0.013855709795690795,0.009731506261869931,-0.020623788979316503,0.003051671800688824,0.02054909303205324
668,0.6049858525732055,0.09347660516176814,0.8989504770100367,-0.009848607105038529,0.013859609236185772,0.009757738033274472,-0.011921056318738875,-0.008763427858205379,0.013011491203265243
669,0.6049749900247128,0.09349189111796082,0.898961238961326,-0.009861754947860403,0.013849943795751172,0.009772064575832363,-0.025576530250896012,0.009556663143083882,0.024892173486281872
670,0.6049616393440335,0.09351064013320211,0.8989744676583322,-0.00989637927190794,0.013862880379137334,0.009805731334449029,-0.013610563837692569,-0.006607223727214724,0.014511625483247453
671,0.6049504433126729,0.09352632300434326,0.8989855607428228,-0.009911776721991106,0.01385540557051227,0.009822123170020278,-0.014257719708511826,-0.005784647820560081,0.015086140535892918
672,0.6049393102135248,0.09354188510632368,0.8989965927519903,-0.009927790744672794,0.013848908216929724,0.009839042732353082,-0.011658340605407828,-0.00929733220827855,0.01283186556118588
673,0.6049288739885046,0.09355644277437257,0.8990069353423775,-0.009940045670044083,0.01383913494608212,0.009852508041993932,-0.019207149994315845,0.0007406170158216667,0.019392242846794423
674,0.604917185363834,0.09357271577805149,0.8990185206027046,-0.00996263104036856,0.013840005571616864,0.0098752843484093,-0.01636413407025225,-0.003098924310962084,0.016915903502178108
675,0.6049060996626653,0.09358811539817187,0.8990295087267428,-0.009980839367871525,0.01383655725568867,0.009894081498943113,-0.024803851744224288,0.008063766930413056,0.02423935221879121
676,0.6048934611425576,0.09360563562447516,0.8990420368890424,-0.010012247268667908,0.013846767398501741,0.009924744966943086,-0.02343996626540843,0.006168672177872066,0.023046396050712466
