,x,y,z,x_dot,y_dot,z_dot,x_ddot,y_ddot,z_ddot
7385,0.6170071822480403,0.09908371014808544,0.8870072324008403,-0.019242585805952277,-0.010760055596800759,0.019222782966065513,-0.054119471517206655,-0.08472658562111211,0.06193855410307257
7386,0.6169823157081119,0.09906980632449378,0.8870320719635524,-0.019210399366585126,-0.010779871724382965,0.01919031800790458,0.029240595264461513,-0.018040520401390356,-0.029229898134200332
7387,0.6169610634436238,0.09905788142012353,0.8870533009984107,-0.019167316236406266,-0.010786165738528693,0.019145781932257626,0.03766871548028941,-0.005484866730385164,-0.039007893434031944
7388,0.6169391550505812,0.09904555355262618,0.8870751836994443,-0.019129091717633027,-0.010796868519003367,0.019106552720012975,0.03188121811149361,-0.008904734964922457,-0.032811255408041494
7389,0.6169162458867359,0.09903262401279764,0.8870980646906286,-0.019096201693757513,-0.010812866500129829,0.01907315572418288,0.026256306923390142,-0.012757768835666655,-0.026748854867384868
7390,0.616892356209285,0.09901909789264918,0.8871219242531752,-0.019068075094820513,-0.010833730349539406,0.01904497351315419,0.025418449268446514,-0.018869576162155538,-0.02528018824980306
7391,0.6168711659224748,0.09900705916451329,0.887143087856098,-0.01903165096654902,-0.010844408699842607,0.01900765096565884,0.03279339875804708,-0.009615377788708458,-0.033618058294722336
7392,0.6168500251893094,0.09899501373939333,0.8871642009223811,-0.01899714525226219,-0.010856272852419116,0.018972394335627616,0.031231026872271517,-0.010741583016288763,-0.03191911721168342
7393,0.6168290314938101,0.09898301725006305,0.8871851662717017,-0.01896410707109756,-0.010868898086144598,0.01893872349804903,0.029557381483803595,-0.011291339235786948,-0.03015902974156013
7394,0.6168078391845644,0.098970872068212,0.8872063292012267,-0.018933326702179166,-0.010883392010482206,0.01890751349534403,0.025313600247657584,-0.011893477909682227,-0.025813580208836777
7395,0.616784875555557,0.09895767285012307,0.8872292603310434,-0.018909879492348843,-0.010905913808763958,0.018884365548871407,0.02150325952282337,-0.02064690771720238,-0.021075288062899208
7396,0.6167641676618476,0.09894573070114848,0.8872499393152798,-0.018878948711536718,-0.01091945664217744,0.018852981287293454,0.028045932767115457,-0.012277905091041144,-0.028486625664799606
7397,0.6167433495979131,0.09893369041855729,0.8872707277638993,-0.018849728469775884,-0.010934328491372755,0.01882345403906681,0.026871870807747875,-0.013681400524061145,-0.027150840035325086
7398,0.6167228424048892,0.09892179535506765,0.8872912054197719,-0.018820804599578394,-0.0109488826222645,0.01879423599920505,0.023372258817336653,-0.01172453432085257,-0.02381865149785156
7399,0.6166996472769188,0.09890830266796136,0.8873143665846808,-0.018802449010095534,-0.010975340599081906,0.01877665061376522,0.013888364480780551,-0.020049570818348583,-0.013427253196009556
7400,0.6166748922326742,0.09889385374928611,0.8873390862727668,-0.018789887435134125,-0.011008519038300663,0.018765463128356905,0.011495458078327633,-0.030084293190257894,-0.009975513638482966
7401,0.6166540738145748,0.09888165751997999,0.8873598766452854,-0.01876008147605786,-0.011022888324469734,0.01873533366315195,0.02666096028026388,-0.012850856996492216,-0.026983735281740303
7402,0.6166331050282305,0.09886933762721985,0.8873808167705985,-0.018731854460640043,-0.011038568506543982,0.01870691141498992,0.02489321012088245,-0.013825031066432953,-0.02510742625534267
7403,0.6166118730197567,0.09885682652215298,0.8874020194811916,-0.018705456343257477,-0.011055998582588912,0.018680494213928964,0.02319503965383557,-0.015314797359847643,-0.023238409824825078
7404,0.6165905861934368,0.09884424558114098,0.8874232768687096,-0.01867987410384538,-0.011074083392528886,0.018654963235537256,0.023077594046458153,-0.016318086198003002,-0.02301116294257408
7405,0.6165698584880774,0.09883195822804726,0.8874439759530263,-0.018653013338002348,-0.011090291845043308,0.018628006779338978,0.024080068971201043,-0.01452977767966262,-0.024194445120480187
