,time_diff,time
0,3.0517578125e-05,3.0517578125e-05
1,0.0021140575408935547,0.0021445751190185547
2,0.0011110305786132812,0.003255605697631836
3,0.0011487007141113281,0.004404306411743164
4,0.0010859966278076172,0.005490303039550781
5,0.0010983943939208984,0.00658869743347168
6,0.001077413558959961,0.007666110992431641
7,0.0010526180267333984,0.008718729019165039
8,0.0011186599731445312,0.00983738899230957
9,0.001148223876953125,0.010985612869262695
10,0.0010707378387451172,0.012056350708007812
11,0.0010559558868408203,0.013112306594848633
12,0.0010862350463867188,0.014198541641235352
13,0.0010542869567871094,0.015252828598022461
14,0.0011203289031982422,0.016373157501220703
15,0.0011320114135742188,0.017505168914794922
16,0.0010840892791748047,0.018589258193969727
17,0.001129150390625,0.019718408584594727
18,0.0011110305786132812,0.020829439163208008
19,0.001116037368774414,0.021945476531982422
20,0.0011348724365234375,0.02308034896850586
21,0.0012047290802001953,0.024285078048706055
22,0.0011806488037109375,0.025465726852416992
23,0.001093149185180664,0.026558876037597656
24,0.0013396739959716797,0.027898550033569336
25,0.001325845718383789,0.029224395751953125
26,0.001302480697631836,0.03052687644958496
27,0.0014526844024658203,0.03197956085205078
28,0.001621246337890625,0.033600807189941406
29,0.001691579818725586,0.03529238700866699
30,0.0012230873107910156,0.03651547431945801
31,0.0019948482513427734,0.03851032257080078
32,0.0020017623901367188,0.0405120849609375
33,0.0015094280242919922,0.04202151298522949
34,0.0011172294616699219,0.043138742446899414
35,0.001150369644165039,0.04428911209106445
36,0.001088857650756836,0.04537796974182129
37,0.0011315345764160156,0.046509504318237305
38,0.0011360645294189453,0.04764556884765625
39,0.001249074935913086,0.048894643783569336
40,0.0011031627655029297,0.049997806549072266
41,0.0010688304901123047,0.05106663703918457
42,0.0011105537414550781,0.05217719078063965
43,0.0011138916015625,0.05329108238220215
44,0.0011186599731445312,0.05440974235534668
45,0.0011706352233886719,0.05558037757873535
46,0.0011224746704101562,0.05670285224914551
47,0.0019459724426269531,0.05864882469177246
48,0.0011148452758789062,0.05976366996765137
49,0.0011820793151855469,0.060945749282836914
50,0.0015423297882080078,0.06248807907104492
51,0.002400636672973633,0.06488871574401855
52,0.0011205673217773438,0.0660092830657959
53,0.0012216567993164062,0.0672309398651123
54,0.0010695457458496094,0.06830048561096191
55,0.0010733604431152344,0.06937384605407715
56,0.001138448715209961,0.07051229476928711
57,0.0010721683502197266,0.07158446311950684
58,0.001146078109741211,0.07273054122924805
59,0.0012276172637939453,0.07395815849304199
60,0.0011105537414550781,0.07506871223449707
61,0.0011093616485595703,0.07617807388305664
62,0.0011963844299316406,0.07737445831298828
63,0.0011050701141357422,0.07847952842712402
64,0.0011069774627685547,0.07958650588989258
65,0.001104116439819336,0.08069062232971191
66,0.0011649131774902344,0.08185553550720215
67,0.0012295246124267578,0.0830850601196289
68,0.0015854835510253906,0.0846705436706543
69,0.0010957717895507812,0.08576631546020508
70,0.0011179447174072266,0.0868842601776123
71,0.0012025833129882812,0.08808684349060059
72,0.0013251304626464844,0.08941197395324707
73,0.0014870166778564453,0.09089899063110352
74,0.0011126995086669922,0.09201169013977051
75,0.0010921955108642578,0.09310388565063477
76,0.0011625289916992188,0.09426641464233398
77,0.0016334056854248047,0.09589982032775879
78,0.0012421607971191406,0.09714198112487793
79,0.001123666763305664,0.0982656478881836
80,0.0013051033020019531,0.09957075119018555
81,0.0011162757873535156,0.10068702697753906
82,0.001102447509765625,0.10178947448730469
83,0.0011067390441894531,0.10289621353149414
84,0.0011119842529296875,0.10400819778442383
85,0.0012583732604980469,0.10526657104492188
86,0.0011241436004638672,0.10639071464538574
87,0.001249551773071289,0.10764026641845703
88,0.0011110305786132812,0.10875129699707031
89,0.0011065006256103516,0.10985779762268066
90,0.0012617111206054688,0.11111950874328613
91,0.0012080669403076172,0.11232757568359375
92,0.0011513233184814453,0.1134788990020752
93,0.0012102127075195312,0.11468911170959473
94,0.001329660415649414,0.11601877212524414
95,0.0011780261993408203,0.11719679832458496
96,0.001077890396118164,0.11827468872070312
97,0.0011188983917236328,0.11939358711242676
98,0.0011096000671386719,0.12050318717956543
99,0.0011107921600341797,0.12161397933959961
100,0.0010704994201660156,0.12268447875976562
101,0.0011663436889648438,0.12385082244873047
102,0.0011239051818847656,0.12497472763061523
103,0.0011093616485595703,0.1260840892791748
104,0.0010838508605957031,0.1271679401397705
105,0.0010623931884765625,0.12823033332824707
106,0.0011150836944580078,0.12934541702270508
107,0.001150369644165039,0.13049578666687012
108,0.0013358592987060547,0.13183164596557617
109,0.001499176025390625,0.1333308219909668
110,0.0014507770538330078,0.1347815990447998
111,0.0012700557708740234,0.13605165481567383
112,0.0013699531555175781,0.1374216079711914
113,0.0011544227600097656,0.13857603073120117
114,0.0011065006256103516,0.13968253135681152
115,0.0010769367218017578,0.14075946807861328
116,0.0011475086212158203,0.1419069766998291
117,0.0010669231414794922,0.1429738998413086
118,0.0010924339294433594,0.14406633377075195
119,0.0011188983917236328,0.14518523216247559
120,0.0012972354888916016,0.1464824676513672
121,0.0011148452758789062,0.1475973129272461
122,0.0012218952178955078,0.1488192081451416
123,0.0012814998626708984,0.1501007080078125
124,0.001306295394897461,0.15140700340270996
125,0.0012760162353515625,0.15268301963806152
126,0.0011928081512451172,0.15387582778930664
127,0.0011184215545654297,0.15499424934387207
128,0.0013155937194824219,0.1563098430633545
129,0.0011532306671142578,0.15746307373046875
130,0.0010805130004882812,0.15854358673095703
131,0.001115560531616211,0.15965914726257324
132,0.0011436939239501953,0.16080284118652344
133,0.0010905265808105469,0.16189336776733398
